CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
1379;0;0;
7333;73;0;
11329;833;0;
15333;5099;0;
18159;6755;0;
19027;8845;0;
19027;8845;0;
24299;13608;0;
28705;18175;0;
29727;19264;0;
