CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
11577;0;0;
19577;654;0;
27574;1833;0;
35574;5558;0;
43577;9041;0;
51577;17102;11576;
59574;25106;18264;
67574;33114;25718;
75574;41114;29300;
83574;49114;34459;
91574;57114;34459;
99574;65114;34459;
107574;73114;34459;
115574;81114;34459;
123574;89114;34459;
131574;97110;34459;
139574;105111;34459;
147574;113114;34459;
155574;121114;34459;
163574;129114;34459;
171574;137114;34459;
179574;145114;34459;
187574;153114;34459;
195574;161114;34459;
203574;169114;34459;
211574;176144;34459;
219574;176144;34459;
220487;176144;34459;
