CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
11505;160;0;
19441;910;0;
27441;1940;0;
35441;4154;0;
43443;10914;0;
51447;30164;11450;
59441;46139;20584;
67441;61106;28025;
75441;74918;34311;
83441;83439;34833;
91441;91439;34833;
99441;99440;34833;
107442;107441;34833;
115441;115440;34833;
123441;123440;34833;
131441;131440;34833;
139441;139440;34833;
147441;147440;34833;
155441;155440;34833;
163444;163434;34833;
171441;171440;34833;
179441;179440;34833;
187441;187440;34833;
195441;195440;34833;
203441;203438;34833;
211441;211440;34833;
219444;218254;34833;
227441;218396;34833;
235441;221797;34833;
243441;224616;34833;
251445;232284;34833;
259441;240943;35190;
267441;252389;44624;
275441;263690;49267;
283441;276984;54879;
291441;284972;54879;
299436;291516;54879;
307435;297328;61721;
315444;298571;62988;
