CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
5320;0;0;
9320;562;0;
13317;1179;0;
17324;1757;0;
21317;2262;0;
25317;3250;0;
28250;3260;0;
28250;4301;1027;
28250;9600;6327;
28250;13545;10354;
28250;16438;13263;
28250;20415;17405;
28250;22869;19859;
28250;27317;24321;
28250;28250;25254;
28250;28250;25254;
